Start (s),End (s),Scientific name,Common name,Confidence
108.0,111.0,Streptopelia decaocto,Eurasian Collared-Dove,0.1519326
135.0,138.0,Ardea herodias,Great Blue Heron,0.44940856
462.0,465.0,Psiloscops flammeolus,Flammulated Owl,0.23421289
