Start (s),End (s),Scientific name,Common name,Confidence
57.0,60.0,Psiloscops flammeolus,Flammulated Owl,0.253542
138.0,141.0,Cygnus columbianus,Tundra Swan,0.20457152
141.0,144.0,Psiloscops flammeolus,Flammulated Owl,0.2874754
456.0,459.0,Corvus corax,Common Raven,0.17267749
